title,service_name,url,tags
Demographics_and_Workforce_Community_Indicators,Demographics_and_Workforce_Community_Indicators,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Demographics_and_Workforce_Community_Indicators/FeatureServer,geoloom
"Number of Persons with Library Cards per 1,000 Residents",Libcard,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Libcard/FeatureServer,arts
Neighborhood_Investment_Map,Neighborhood_Investment_Map,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Neighborhood_Investment_Map/FeatureServer,bnia| investments| community
"Juvenile Arrest Rate per 1,000 Juveniles",Juvarr,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Juvarr/FeatureServer,crime
Percentage of 3rd Grade Students who Met or Exceeded PARCC Math,Pmath3,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Pmath3/FeatureServer,education
Racial Diversity Index,Racdiv,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Racdiv/FeatureServer,census
Number of Children (aged 0-6) Tested for Elevated Blood Lead Levels,Leadtest,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Leadtest/FeatureServer,health
"Property Crime Rate per 1,000 Residents",Prop,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Prop/FeatureServer,crime. public safety
PSO_Boundary_Crime,PSO_Boundary_Crime,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/PSO_Boundary_Crime/FeatureServer,pso
"Number of Gun-Related Homicides per 1,000 Residents",Gunhom,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Gunhom/FeatureServer,crime|public safety
Percent of Population 65 Years and over,Age65_,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Age65_/FeatureServer,census
Percent of Population that Uses Public Transportation to Get to Work,Pubtran,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Pubtran/FeatureServer,sustainability
Percentage of Students Passing H.S.A. Biology,Hsabio,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Hsabio/FeatureServer,education
Life Expectancy,Lifexp,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Lifexp/FeatureServer,health
Unemployment Rate,Unempr,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Unempr/FeatureServer,workforce
NoInternetACS17,NoInternetACS17,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/NoInternetACS17/FeatureServer,bnia| baltimore| acs| internet access
PSO_RelocationsMap,PSO_RelocationsMap,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/PSO_RelocationsMap/FeatureServer,pso
Walk Score,Wlksc,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Wlksc/FeatureServer,sustainability
History_in_Baltimore,History_in_Baltimore,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/History_in_Baltimore/FeatureServer,geoloom|featured map
Total Population,Tpop,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Tpop/FeatureServer,census
Median Price of Homes Sold,Salepr,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Salepr/FeatureServer,housing| housing & development
Percent of Population 5-17 Years old,Age18_,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Age18_/FeatureServer,census
Affordability Index - Rent,Affordr,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Affordr/FeatureServer,housing
Percent of Employed Population with Travel Time to Work of 45 Minutes and Over,Trav45_,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Trav45_/FeatureServer,sustainability
Baltimore City Census Tracts (2010) and Community Statistical Areas ,Tracts_to_CSA,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Tracts_to_CSA/FeatureServer,boundaries| baltimore| csa| census tract
"Number of Homeowner's Tax Credits per 1,000 Residential Units",Owntax,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Owntax/FeatureServer,housing
"Number of Shootings per 1,000 Residents",Shoot,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Shoot/FeatureServer,crime| public safety
Percent of Families Receiving TANF,Tanf,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Tanf/FeatureServer,health
Percent of Households with No Vehicles Available,Novhcl,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Novhcl/FeatureServer,sustainability
"Number of Overdose Calls for Service per 1,000 Residents",Overd,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Overd/FeatureServer,health
Education_Community_Indicators,Education_Community_Indicators,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Education_Community_Indicators/FeatureServer,geoloom
"Rate of Dirty Streets and Alleys Reports per 1,000 Residents",Dirtyst,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Dirtyst/FeatureServer,sustainability
"Percent of Residents - All Other Races (Hawaiian/ Pacific Islander, Alaskan/ Native American Other Race) (Non-Hispanic)",Ppac,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Ppac/FeatureServer,census
Number of Trees of Planted,Treeplnt,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Treeplnt/FeatureServer,sustainability
Baltimore_Metro_Zip_Codes,Baltimore_Metro_Zip_Codes,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Baltimore_Metro_Zip_Codes/FeatureServer,baltimore metro| zip code
"Percent of Households Earning 40,000 to 60,000",Hh60inc,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Hh60inc/FeatureServer,census
"Percentage of Properties with Rehabilitation Permits Exceeding 5,000",Resrehab,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Resrehab/FeatureServer,housing
Percent of Homes Weatherized,Weather,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Weather/FeatureServer,sustainability
Percent of Employed Population with Travel Time to Work of 0-14 Minutes,Trav14_,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Trav14_/FeatureServer,sustainability
Percent of Births Where the Mother Received Early Prenatal Care (First Trimester),Prenatal,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Prenatal/FeatureServer,health
"Number of Automobile Accident Calls for Service per 1,000 Residents",Caracc,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Caracc/FeatureServer,crime
Percent of Population that Drove Alone to Work,Drvalone,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Drvalone/FeatureServer,sustainability
Percent of Households with Children Under 18,Fam,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Fam/FeatureServer,census
"Percent of Population Using Other Means to Commute to Work (Taxi, Motorcycle, Bicycle, Other)",Othrcom,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Othrcom/FeatureServer,sustainability
SAFMR_Data,SAFMR_Data,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/SAFMR_Data/FeatureServer,safmr| baltimore metro
Total Number of Residential Properties,Totalres,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Totalres/FeatureServer,housing
"Number of Homestead Tax Credits per 1,000 Residential Units",Homtax,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Homtax/FeatureServer,housing
Percent of Businesses that are 1 Year old or less,Biz1_,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Biz1_/FeatureServer,workforce
"Number of Event Permits Requested per 1,000 Residents",Artevnt,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Artevnt/FeatureServer,arts
Percent of 9th-12th Grade Students that are Chronically Absent (Missing at least 20 days),Abshs,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Abshs/FeatureServer,education
Percent of Persons Receiving SNAP,Snap,https://services1.arcgis.com/mVFRs7NF4iFitgbY/arcgis/rest/services/Snap/FeatureServer, health
